"customer_id","company_name","total_revenue","total_orders","avg_order_value","customer_lifetime_value"
"QUICK","QUICK-Stop","110277.31","86","1282.29","110277.31"
"ERNSH","Ernst Handel","104874.98","102","1028.19","104874.98"
"SAVEA","Save-a-lot Markets","104361.95","116","899.67","104361.95"
"RATTC","Rattlesnake Canyon Grocery","51097.80","71","719.69","51097.80"
"HUNGO","Hungry Owl All-Night Grocers","49979.91","55","908.73","49979.91"
"HANAR","Hanari Carnes","32841.37","32","1026.29","32841.37"
"KOENE","Königlich Essen","30908.38","39","792.52","30908.38"
"FOLKO","Folk och fä HB","29567.56","45","657.06","29567.56"
"MEREP","Mère Paillarde","28872.19","32","902.26","28872.19"
"WHITC","White Clover Markets","27363.60","40","684.09","27363.60"
"FRANK","Frankenversand","26656.56","48","555.34","26656.56"
"QUEEN","Queen Cozinha","25717.50","40","642.94","25717.50"
"BERGS","Berglunds snabbköp","24927.58","52","479.38","24927.58"
"SUPRD","Suprêmes délices","24088.78","39","617.66","24088.78"
"PICCO","Piccolo und mehr","23128.86","23","1005.60","23128.86"
"HILAA","HILARION-Abastos","22768.76","45","505.97","22768.76"
"BONAP","Bon app'","21963.25","44","499.16","21963.25"
"BOTTM","Bottom-Dollar Markets","20801.60","35","594.33","20801.60"
"RICSU","Richter Supermarkt","19343.78","30","644.79","19343.78"
"LEHMS","Lehmanns Marktstand","19261.41","39","493.88","19261.41"
"BLONP","Blondesddsl père et fils","18534.08","26","712.85","18534.08"
"GREAL","Great Lakes Food Market","18507.45","22","841.25","18507.45"
"SIMOB","Simons bistro","16817.10","15","1121.14","16817.10"
"LINOD","LINO-Delicateses","16476.56","35","470.76","16476.56"
"SEVES","Seven Seas Imports","16215.33","26","623.67","16215.33"
"LILAS","LILA-Supermercado","16076.60","34","472.84","16076.60"
"VAFFE","Vaffeljernet","15843.92","31","511.09","15843.92"
"WARTH","Wartian Herkku","15648.70","37","422.94","15648.70"
"OLDWO","Old World Delicatessen","15177.46","24","632.39","15177.46"
"EASTC","Eastern Connection","14761.03","21","702.91","14761.03"
"AROUT","Around the Horn","13390.65","30","446.35","13390.65"
"OTTIK","Ottilies Käseladen","12496.20","29","430.90","12496.20"
"RICAR","Ricardo Adocicados","12450.80","27","461.14","12450.80"
"CHOPS","Chop-suey Chinese","12348.88","22","561.31","12348.88"
"FOLIG","Folies gourmandes","11666.90","16","729.18","11666.90"
"GODOS","Godos Cocina Típica","11446.36","26","440.24","11446.36"
"SPLIR","Split Rail Beer & Ale","11441.63","20","572.08","11441.63"
"TORTU","Tortuga Restaurante","10812.15","29","372.83","10812.15"
"MAISD","Maison Dewey","9736.08","17","572.71","9736.08"
"WANDK","Die Wandernde Kuh","9588.42","26","368.79","9588.42"
"LAMAI","La maison d'Asie","9328.20","31","300.91","9328.20"
"VICTE","Victuailles en stock","9182.43","25","367.30","9182.43"
"GOURL","Gourmet Lanchonetes","8414.13","19","442.85","8414.13"
"MAGAA","Magazzini Alimentari Riuniti","7176.21","21","341.72","7176.21"
"REGGC","Reggiani Caseifici","7048.24","22","320.37","7048.24"
"ANTON","Antonio Moreno Taquería","7023.98","17","413.18","7023.98"
"TRADH","Tradição Hipermercados","6850.66","13","526.97","6850.66"
"QUEDE","Que Delícia","6664.81","24","277.70","6664.81"
"FURIB","Furia Bacalhau e Frutos do Mar","6427.42","20","321.37","6427.42"
"ISLAT","Island Trading","6146.30","23","267.23","6146.30"
"BSBEV","B's Beverages","6089.90","22","276.81","6089.90"
"WELLI","Wellington Importadora","6068.20","19","319.38","6068.20"
"SANTG","Santé Gourmet","5735.15","16","358.45","5735.15"
"PRINI","Princesa Isabel Vinhos","5044.94","10","504.49","5044.94"
"MORGK","Morgenstern Gesundkost","5042.20","11","458.38","5042.20"
"TOMSP","Toms Spezialitäten","4778.14","14","341.30","4778.14"
"ALFKI","Alfreds Futterkiste","4273.00","12","356.08","4273.00"
"LONEP","Lonesome Pine Restaurant","4258.60","14","304.19","4258.60"
"PERIC","Pericles Comidas clásicas","4242.20","14","303.01","4242.20"
"BOLID","Bólido Comidas preparadas","4232.85","6","705.48","4232.85"
"FAMIA","Familia Arquibaldo","4107.55","19","216.19","4107.55"
"COMMI","Comércio Mineiro","3810.75","10","381.07","3810.75"
"DRACD","Drachenblut Delikatessen","3763.21","10","376.32","3763.21"
"WOLZA","Wolski  Zajazd","3531.95","16","220.75","3531.95"
"OCEAN","Océano Atlántico Ltda.","3460.20","11","314.56","3460.20"
"THEBI","The Big Cheese","3361.00","7","480.14","3361.00"
"BLAUS","Blauer See Delikatessen","3239.80","14","231.41","3239.80"
"FRANR","France restauration","3172.16","6","528.69","3172.16"
"WILMK","Wilman Kala","3161.35","17","185.96","3161.35"
"LETSS","Let's Stop N Shop","3076.47","10","307.65","3076.47"
"HUNGC","Hungry Coyote Import Store","3063.20","9","340.36","3063.20"
"RANCH","Rancho grande","2844.10","12","237.01","2844.10"
"SPECD","Spécialités du monde","2423.35","6","403.89","2423.35"
"LACOR","La corne d'abondance","1992.05","11","181.10","1992.05"
"THECR","The Cracker Box","1947.24","8","243.40","1947.24"
"CACTU","Cactus Comidas para llevar","1814.80","11","164.98","1814.80"
"CONSH","Consolidated Holdings","1719.10","7","245.59","1719.10"
"DUMON","Du monde entier","1615.90","9","179.54","1615.90"
"TRAIH","Trail's Head Gourmet Provisioners","1571.20","9","174.58","1571.20"
"FRANS","Franchi S.p.A.","1545.70","10","154.57","1545.70"
"GROSR","GROSELLA-Restaurante","1488.70","4","372.17","1488.70"
"VINET","Vins et alcools Chevalier","1480.00","10","148.00","1480.00"
"ROMEY","Romero y tomillo","1467.29","14","104.81","1467.29"
"ANATR","Ana Trujillo Emparedados y helados","1402.95","10","140.29","1402.95"
"GALED","Galería del gastrónomo","836.70","8","104.59","836.70"
"NORTS","North/South","649.00","6","108.17","649.00"
"LAUGB","Laughing Bacchus Wine Cellars","522.50","8","65.31","522.50"
"LAZYK","Lazy K Kountry Store","357.00","2","178.50","357.00"
"CENTC","Centro comercial Moctezuma","100.80","2","50.40","100.80"
