"company_name","gross_revenue","net_revenue","total_revenue"
"QUICK-Stop","103473","97399","114995"
"Ernst Handel","96524","89522","110017"
"Save-a-lot Markets","79779","72514","93676"
"Rattlesnake Canyon Grocery","47724","46885","52041"
"Hanari Carnes","33201","31957","33317"
"Hungry Owl All-Night Grocers","31990","27868","32717"
"Königlich Essen","28640","27816","30663"
"Queen Cozinha","28031","23730","30394"
"Mère Paillarde","29435","26247","30247"
"Folk och fä HB","25359","23994","29077"
"Frankenversand","26103","24242","28896"
"White Clover Markets","24681","23108","26609"
"Bon app'","22807","20971","24699"
"Berglunds snabbköp","21645","20315","24317"
"Piccolo und mehr","23372","20507","23231"
"Suprêmes délices","19723","19108","22106"
"HILARION-Abastos","18960","18366","21169"
"Great Lakes Food Market","19320","18178","20583"
"Bottom-Dollar Markets","19375","18274","20163"
"Simons bistro","18138","16817","18317"
"Lehmanns Marktstand","16766","15171","17675"
"LILA-Supermercado","16913","15165","17277"
"LINO-Delicateses","15702","14337","16112"
"Richter Supermarkt","12787","12355","14856"
"Wartian Herkku","13090","12161","14455"
"Blondesddsl père et fils","13145","12591","14222"
"Old World Delicatessen","12666","11906","14089"
"Eastern Connection","11864","11864","14049"
"Folies gourmandes","11577","11577","14040"
"Seven Seas Imports","12319","11583","14031"
"Ottilies Käseladen","12102","11471","13914"
"Around the Horn","12841","12482","13804"
"Vaffeljernet","11923","11575","13745"
"Ricardo Adocicados","11686","11273","12668"
"Chop-suey Chinese","11654","11271","12108"
"Split Rail Beer & Ale","10510","9462","10918"
"Tortuga Restaurante","9424","9424","10491"
"Victuailles en stock","9557","8897","10442"
"Maison Dewey","9519","8824","9903"
"Die Wandernde Kuh","9198","8194","9279"
"Godos Cocina Típica","7960","7608","9032"
"Gourmet Lanchonetes","7952","7758","8623"
"Furia Bacalhau e Frutos do Mar","7116","6391","7284"
"Que Delícia","6581","6331","7234"
"Magazzini Alimentari Riuniti","6502","6159","7056"
"Island Trading","5891","5891","6823"
"B's Beverages","6090","6090","6653"
"La maison d'Asie","6580","5831","6626"
"Tradição Hipermercados","6320","5910","6624"
"Reggiani Caseifici","5966","5563","6155"
"Santé Gourmet","5263","5263","5946"
"Antonio Moreno Taquería","5333","4842","5223"
"Morgenstern Gesundkost","4314","4314","5087"
"Toms Spezialitäten","4882","4713","4960"
"Océano Atlántico Ltda.","3033","3033","4073"
"Alfreds Futterkiste","3821","3669","4019"
"Wellington Importadora","3798","3558","3986"
"Princesa Isabel Vinhos","3667","3395","3833"
"The Big Cheese","3276","3276","3793"
"Familia Arquibaldo","3520","3236","3705"
"Lonesome Pine Restaurant","3517","3517","3658"
"Drachenblut Delikatessen","3107","3107","3624"
"Let's Stop N Shop","3490","3076","3623"
"Blauer See Delikatessen","3103","3103","3454"
"Rancho grande","2844","2844","3369"
"Hungry Coyote Import Store","3001","3001","3303"
"Wolski  Zajazd","2990","2990","3246"
"Pericles Comidas clásicas","2731","2731","3238"
"Wilman Kala","2815","2815","3036"
"Spécialités du monde","2423","2423","2706"
"Comércio Mineiro","1986","1986","2295"
"La corne d'abondance","1758","1758","2020"
"Trail's Head Gourmet Provisioners","1571","1571","1812"
"Franchi S.p.A.","1546","1546","1692"
"Ana Trujillo Emparedados y helados","1333","1333","1596"
"Cactus Comidas para llevar","1450","1450","1577"
"France restauration","1439","1439","1569"
"Vins et alcools Chevalier","1382","1382","1498"
"Bólido Comidas preparadas","1262","1206","1456"
"Romero y tomillo","1128","1128","1290"
"Du monde entier","910","910","1008"
"Galería del gastrónomo","837","837","905"
"The Cracker Box","677","677","842"
"Consolidated Holdings","636","636","666"
"North/South","505","505","607"
"GROSELLA-Restaurante","499","499","568"
"Laughing Bacchus Wine Cellars","500","500","528"
"Lazy K Kountry Store","357","357","376"
"Centro comercial Moctezuma","101","101","107"
